transcript,model,timestamp,status,attempts,input_tokens,output_tokens,total_tokens,cost_usd,latency_ms
transcript1,gpt-4o-mini,2026-07-25 10:36:58,ok,1,1175,464,1639,$0.000455,150.52
transcript1,gpt-4o-mini,2026-07-25 10:37:18,ok,1,1175,464,1639,$0.000455,150.54
transcript2,gpt-4o-mini,2026-07-25 10:37:19,ok,1,1136,439,1575,$0.000434,150.74
transcript3,gpt-4o-mini,2026-07-25 10:37:19,ok,1,1297,464,1761,$0.000473,150.77
transcript4,gpt-4o-mini,2026-07-25 10:37:19,ok,1,1229,384,1613,$0.000415,150.38
transcript5,gpt-4o-mini,2026-07-25 10:37:19,failed,2,2348,720,3068,$0.000784,301.28
transcript1,gpt-4o-mini,2026-07-25 10:37:36,ok,1,1175,464,1639,$0.000455,150.79
transcript2,gpt-4o-mini,2026-07-25 10:37:36,ok,1,1136,439,1575,$0.000434,150.72
transcript3,gpt-4o-mini,2026-07-25 10:37:36,ok,1,1297,464,1761,$0.000473,150.80
transcript4,gpt-4o-mini,2026-07-25 10:37:36,ok,1,1229,384,1613,$0.000415,150.77
transcript5,gpt-4o-mini,2026-07-25 10:37:37,ok,1,1174,359,1533,$0.000391,150.55
transcript1,gpt-4o-mini,2026-07-25 11:07:57,ok,1,1175,464,1639,$0.000455,150.64
transcript2,gpt-4o-mini,2026-07-25 11:07:57,ok,1,1136,439,1575,$0.000434,150.68
transcript3,gpt-4o-mini,2026-07-25 11:07:57,ok,1,1297,464,1761,$0.000473,150.50
transcript4,gpt-4o-mini,2026-07-25 11:07:58,ok,1,1229,384,1613,$0.000415,150.47
transcript5,gpt-4o-mini,2026-07-25 11:07:58,ok,1,1174,359,1533,$0.000391,151.02
transcript1,gpt-4o-mini,2026-07-25 11:10:11,ok,1,1175,464,1639,$0.000455,150.99
transcript2,gpt-4o-mini,2026-07-25 11:10:12,ok,1,1136,439,1575,$0.000434,150.52
transcript3,gpt-4o-mini,2026-07-25 11:10:12,ok,1,1297,464,1761,$0.000473,150.49
transcript4,gpt-4o-mini,2026-07-25 11:10:12,ok,1,1229,384,1613,$0.000415,150.78
transcript5,gpt-4o-mini,2026-07-25 11:10:12,ok,1,1174,359,1533,$0.000391,150.33
transcript1,gpt-4o-mini,2026-07-25 11:11:09,failed,2,0,0,0,$0.000000,7573.71
transcript1,gemini-1.5-flash,2026-07-25 11:33:19,failed,2,0,0,0,$0.000000,3077.76
transcript1,gemini-2.5-flash,2026-07-25 11:40:55,failed,2,0,0,0,$0.000000,3490.30
transcript1,gemini-2.0-flash,2026-07-25 11:41:39,failed,2,0,0,0,$0.000000,6099.30
transcript1,gemini-2.0-flash,2026-07-25 11:42:06,failed,2,0,0,0,$0.000000,5397.68
transcript1,gemini-2.0-flash,2026-07-25 11:42:47,ok,1,1175,464,1639,$0.000303,150.70
transcript2,gemini-2.0-flash,2026-07-25 11:42:47,ok,1,1136,439,1575,$0.000289,150.73
transcript3,gemini-2.0-flash,2026-07-25 11:42:47,ok,1,1297,464,1761,$0.000315,150.46
transcript4,gemini-2.0-flash,2026-07-25 11:42:47,ok,1,1229,384,1613,$0.000277,150.67
transcript5,gemini-2.0-flash,2026-07-25 11:42:48,ok,1,1174,359,1533,$0.000261,150.72
transcript1,gemini-3.1-flash-lite,2026-07-25 11:53:35,ok,1,1361,667,2028,$0.000604,4479.27
transcript1,gemini-3.1-flash-lite,2026-07-25 11:54:23,ok,1,1361,762,2123,$0.000661,13936.84
transcript2,gemini-3.1-flash-lite,2026-07-25 11:54:27,ok,1,1276,688,1964,$0.000604,3548.17
transcript3,gemini-3.1-flash-lite,2026-07-25 11:54:30,ok,1,1674,674,2348,$0.000656,3683.59
transcript4,gemini-3.1-flash-lite,2026-07-25 11:54:34,ok,1,1328,625,1953,$0.000574,3355.11
transcript5,gemini-3.1-flash-lite,2026-07-25 11:54:37,ok,1,1322,595,1917,$0.000555,3182.21
transcript1,gemini-3.1-flash-lite,2026-07-27 09:44:15,ok,1,1361,753,2114,$0.000656,5554.58
transcript2,gemini-3.1-flash-lite,2026-07-27 09:44:19,ok,1,1276,660,1936,$0.000587,3446.06
transcript3,gemini-3.1-flash-lite,2026-07-27 09:44:23,ok,1,1674,665,2339,$0.000650,3746.40
transcript4,gemini-3.1-flash-lite,2026-07-27 09:44:26,ok,1,1328,586,1914,$0.000551,2993.24
transcript5,gemini-3.1-flash-lite,2026-07-27 09:44:30,ok,1,1322,711,2033,$0.000625,3893.54
